x,y,v
10,19,9753939.000000
10,20,9809744.000000
10,21,9843981.000000
10,22,9856670.000000
10,23,9849000.000000
10,24,9823126.000000
10,25,9782193.000000
10,26,9730063.000000
10,27,9670810.000000
10,28,9607737.000000
10,29,9543417.000000
10,30,9479642.000000
10,31,9417583.000000
10,32,9357878.000000
10,33,9300601.000000
10,34,9245368.000000
10,35,9191658.000000
10,36,9139262.000000
10,37,9088188.000000
10,38,9038712.000000
10,39,8991215.000000
10,40,8946079.000000
10,41,8903523.000000
10,42,8863630.000000
10,43,8826362.000000
10,44,8791444.000000
10,45,8758302.000000
10,46,8726395.000000
10,47,8695209.000000
10,48,8664646.000000
10,49,8634926.000000
11,0,8396288.000000
11,1,8402890.000000
11,2,8411523.000000
11,3,8424054.000000
11,4,8442705.000000
11,5,8470068.000000
11,6,8508788.000000
11,7,8560993.000000
11,8,8628061.000000
11,9,8710542.000000
11,10,8808194.000000
11,11,8919974.000000
11,12,9043801.000000
11,13,9176264.000000
11,14,9312631.000000
11,15,9447814.000000
11,16,9576632.000000
11,17,9694207.000000
11,18,9796079.000000
11,19,9878436.000000
11,20,9938303.000000
11,21,9974592.000000
11,22,9987492.000000
11,23,9978394.000000
11,24,9949714.000000
11,25,9904753.000000
11,26,9847565.000000
11,27,9782525.000000
11,28,9713442.000000
11,29,9643057.000000
11,30,9573335.000000
11,31,9505470.000000
11,32,9440150.000000
11,33,9377482.000000
11,34,9317053.000000
11,35,9258349.000000
11,36,9201132.000000
11,37,9145478.000000
11,38,9091693.000000
11,39,9040198.000000
11,40,8991350.000000
11,41,8945483.000000
11,42,8902691.000000
11,43,8862919.000000
11,44,8825873.000000
11,45,8790940.000000
11,46,8757504.000000
11,47,8725099.000000
11,48,8693476.000000
11,49,8662705.000000
12,0,8398369.000000
12,1,8405547.000000
12,2,8415139.000000
12,3,8429038.000000
12,4,8449567.000000
12,5,8479245.000000
12,6,8520687.000000
12,7,8575994.000000
12,8,8646434.000000
12,9,8732577.000000
12,10,8834263.000000
12,11,8950371.000000
12,12,9078824.000000
12,13,9215959.000000
12,14,9357014.000000
12,15,9496742.000000
12,16,9629998.000000
12,17,9751788.000000
12,18,9857535.000000
12,19,9942958.000000
12,20,10004885.000000
12,21,10042104.000000
12,22,10055075.000000
12,23,10045234.000000
12,24,10015170.000000
12,25,9968285.000000
12,26,9908574.000000
12,27,9840622.000000
12,28,9768457.000000
12,29,9694997.000000
12,30,9622269.000000
12,31,9551493.000000
12,32,9483330.000000
12,33,9417935.000000
12,34,9354916.000000
12,35,9293748.000000
12,36,9234148.000000
12,37,9176192.000000
12,38,9120217.000000
12,39,9066732.000000
12,40,9016076.000000
12,41,8968630.000000
12,42,8924557.000000
12,43,8883779.000000
12,44,8845990.000000
12,45,8810574.000000
12,46,8776862.000000
12,47,8744369.000000
12,48,8712815.000000
12,49,8682079.000000
13,0,8400232.000000
13,1,8407366.000000
13,2,8417183.000000
13,3,8431564.000000
13,4,8452737.000000
13,5,8483096.000000
13,6,8525137.000000
13,7,8580851.000000
13,8,8651442.000000
13,9,8737436.000000
13,10,8838659.000000
13,11,8953983.000000
13,12,9081295.000000
13,13,9217150.000000
13,14,9356933.000000
13,15,9495552.000000
13,16,9627916.000000
13,17,9749036.000000
13,18,9854254.000000
13,19,9939290.000000
13,20,10000973.000000
13,21,10038140.000000
13,22,10051235.000000
13,23,10041669.000000
13,24,10011978.000000
13,25,9965462.000000
13,26,9906149.000000
13,27,9838514.000000
13,28,9766650.000000
13,29,9693522.000000
13,30,9621110.000000
13,31,9550668.000000
13,32,9482804.000000
13,33,9417642.000000
13,34,9354866.000000
13,35,9294001.000000
13,36,9234680.000000
13,37,9177001.000000
13,38,9121268.000000
13,39,9068008.000000
13,40,9017646.000000
13,41,8970600.000000
13,42,8927019.000000
13,43,8886850.000000
13,44,8849798.000000
13,45,8815244.000000
13,46,8782571.000000
13,47,8751204.000000
13,48,8720843.000000
13,49,8691221.000000
14,0,8401741.000000
14,1,8408258.000000
14,2,8417569.000000
14,3,8431456.000000
14,4,8451998.000000
14,5,8481343.000000
14,6,8521821.000000
14,7,8575236.000000
14,8,8642748.000000
14,9,8724820.000000
14,10,8821130.000000
14,11,8930541.000000
14,12,9051107.000000
14,13,9179840.000000
14,14,9312534.000000
14,15,9444463.000000
14,16,9570679.000000
14,17,9686242.000000
14,18,9786599.000000
14,19,9867814.000000
14,20,9927076.000000
14,21,9963250.000000
14,22,9976495.000000
14,23,9968100.000000
14,24,9940395.000000
14,25,9896559.000000
14,26,9840466.000000
14,27,9776425.000000
14,28,9708289.000000
14,29,9638858.000000
14,30,9570079.000000
14,31,9503157.000000
14,32,9438684.000000
14,33,9376723.000000
14,34,9317029.000000
14,35,9259124.000000
14,36,9202683.000000
14,37,9147794.000000
14,38,9094734.000000
14,39,9043933.000000
14,40,8995972.000000
14,41,8951205.000000
14,42,8909812.000000
14,43,8871845.000000
14,44,8836941.000000
14,45,8804581.000000
14,46,8774154.000000
14,47,8745160.000000
14,48,8717005.000000
14,49,8689441.000000
15,0,8402766.000000
15,1,8408232.000000
15,2,8416393.000000
15,3,8428918.000000
15,4,8447670.000000
15,5,8474609.000000
15,6,8511611.000000
15,7,8560355.000000
15,8,8621893.000000
15,9,8696562.000000
15,10,8784084.000000
15,11,8883303.000000
15,12,8992438.000000
15,13,9109065.000000
15,14,9229662.000000
15,15,9349926.000000
15,16,9465260.000000
15,17,9570993.000000
15,18,9662908.000000
15,19,9737530.000000
15,20,9792488.000000
15,21,9826614.000000
15,22,9839855.000000
15,23,9833159.000000
15,24,9808673.000000
15,25,9769398.000000
15,26,9718969.000000
15,27,9661313.000000
15,28,9599800.000000
15,29,9536961.000000
15,30,9474672.000000
15,31,9414100.000000
15,32,9355750.000000
15,33,9299673.000000
15,34,9245541.000000
15,35,9192937.000000
15,36,9141650.000000
15,37,9091731.000000
15,38,9043421.000000
15,39,8997099.000000
15,40,8953310.000000
15,41,8912485.000000
15,42,8874806.000000
15,43,8840354.000000
15,44,8808862.000000
15,45,8779827.000000
15,46,8752702.000000
15,47,8726903.000000
15,48,8701880.000000
15,49,8677160.000000
16,0,8403306.000000
16,1,8407490.000000
16,2,8414083.000000
16,3,8424639.000000
16,4,8440831.000000
16,5,8464246.000000
16,6,8496315.000000
16,7,8538483.000000
16,8,8591752.000000
16,9,8656420.000000
16,10,8732197.000000
16,11,8818074.000000
16,12,8912450.000000
16,13,9013348.000000
16,14,9118018.000000
16,15,9222819.000000
16,16,9323662.000000
16,17,9416377.000000
16,18,9497179.000000
16,19,9563186.000000
16,20,9612395.000000
16,21,9643542.000000
16,22,9656445.000000
16,23,9651741.000000
